ID	GeneRef	Chr	Symbol	Average log fold-change
ILMN_1705153	NM_021076.2	22	NEFH	-2.93
ILMN_1655077	NM_001198.2	6	PRDM1	-2.95
ILMN_1677198	NM_001733.4	12	C1R	-2.95
ILMN_2102330	NM_005202.1	1	COL8A2	-2.95
ILMN_1702973	NM_032181.1	2	TMEM166	-2.96
ILMN_2104141	NM_152536.2	3	FGD5	-2.97
ILMN_1738147	NM_006617.1	1	NES	-2.98
ILMN_1760303	NM_181523.1	5	PIK3R1	-2.98
ILMN_1676413	NM_003385.4	2	VSNL1	-2.99
ILMN_1654319	NM_178232.2	15	HAPLN3	-3.00
ILMN_1784287	NM_003243.2	1	TGFBR3	-3.00
ILMN_1717519	NM_020433.4	20	JPH2	-3.01
ILMN_1701731	NM_001628.2	7	AKR1B1	-3.01
ILMN_1754103	NM_005602.4	3	CLDN11	-3.01
ILMN_1653028	NM_001845.4	13	COL4A1	-3.02
ILMN_2326509	NM_033294.2	11	CASP1	-3.03
ILMN_2322996	NM_172112.1	20	EYA2	-3.04
ILMN_1730487	NM_033140.2	7	CALD1	-3.04
ILMN_1749792	NM_001034954.1	10	SORBS1	-3.05
ILMN_1787526	NM_032321.1	2	MGC13057	-3.06
ILMN_1712075	NM_015286.5	15	DMN	-3.12
ILMN_1683598	NM_004458.1	X	ACSL4	-3.15
ILMN_1844593				-3.15
ILMN_1824391				-3.19
ILMN_1740938	NM_000041.2	19	APOE	-3.19
ILMN_1758146	NM_001040023.1	20	SIRPA	-3.19
ILMN_1772824	NM_032642.2	12	WNT5B	-3.19
ILMN_1739222	NM_004454.1	3	ETV5	-3.20
ILMN_2218208	NM_004684.2	4	SPARCL1	-3.22
ILMN_2326512	NM_033294.2	11	CASP1	-3.24
ILMN_1735438	NM_001001995.1	X	GPM6B	-3.24
ILMN_2304512	NM_199161.1	11	SAA1	-3.26
ILMN_1724994	NM_001846.2	13	COL4A2	-3.27
ILMN_1815673	NM_015881.5	11	DKK3	-3.28
ILMN_2372974	NM_080792.2	20	SIRPA	-3.30
ILMN_2398159	NM_013253.4	11	DKK3	-3.31
ILMN_2201678	NM_007085.3	3	FSTL1	-3.33
ILMN_1772910	NM_002048.1	9	GAS1	-3.35
ILMN_1736178	NM_001129.3	7	AEBP1	-3.36
ILMN_2149164	NM_003012.3	8	SFRP1	-3.38
ILMN_1805543	NM_182920.1	3	ADAMTS9	-3.44
ILMN_2324002	NM_033157.2	7	CALD1	-3.46
ILMN_1795251	NM_004684.3	4	SPARCL1	-3.52
ILMN_1694840	NM_002380.3	8	MATN2	-3.55
ILMN_2197128	NM_145260.2	2	OSR1	-3.56
ILMN_1668039	NM_016815.2	2	GYPC	-3.61
ILMN_1696434	NM_005559.2	18	LAMA1	-3.67
ILMN_1755215	NM_001030060.1	6	SAMD5	-3.70
ILMN_1682332	NM_016815.2	2	GYPC	-3.78
ILMN_1773546	NM_054031.2	11	MRGPRX3	-3.99
ILMN_1657373	NM_018192.2	3	LEPREL1	-4.16
ILMN_1701017	NM_000331.3	11	SAA1	-4.25
