ID	GeneRef	Chr	Symbol	Average log fold-change
ILMN_1683179	NM_004165.1	16	RRAD	3.06
ILMN_1732962	NM_020721.1	X	KIAA1210	3.06
ILMN_1738578	NM_014890.2	3	FILIP1L	3.05
ILMN_1666536	NM_014312.3	11	VSIG2	3.05
ILMN_1710064	NM_138969.2	8	RDHE2	3.03
ILMN_1729188	NM_021175.2	19	HAMP	3.02
ILMN_1772446	NM_032829.1	12	C12orf34	3.01
ILMN_1655068	NM_001082968.1	17	TOM1L2	3.00
ILMN_2401779	NM_001035254.1	9	FAM102A	3.00
ILMN_1662846	NM_014373.1	3	GPR160	2.99
ILMN_1656560	NM_015393.2	4	DKFZP564O0823	2.98
ILMN_1697460	NM_138393.1	19	REEP6	2.98
ILMN_1745112	NM_001035254.1	9	FAM102A	2.98
ILMN_1685174	NM_001871.2	3	CPB1	2.98
ILMN_1725471	NM_000167.3	X	GK	2.96
ILMN_1766405	NM_177937.1	9	GOLM1	2.96
ILMN_1699665	NM_053277.1	21	CLIC6	2.96
ILMN_2323801	NM_001075098.1	6	MOCS1	2.95
ILMN_1661078	XM_927939.2	15	LOC644844	2.95
ILMN_2393296	NM_203391.1	X	GK	2.95
ILMN_2366192	NM_201553.1	8	FGL1	2.94
ILMN_1682599	NM_003979.3	12	GPRC5A	2.94
ILMN_1880983				2.93
ILMN_2188862	NM_004864.1	19	GDF15	2.92
ILMN_1748303	XM_001134429.1	11	MUC5AC	2.92
ILMN_1727589	NM_004605.2	19	SULT2B1	2.90
ILMN_1691641	NM_004143.2	X	CITED1	2.90
ILMN_1800225	NM_015869.4	3	PPARG	2.89
ILMN_1879326				2.88
ILMN_1783690	XM_938885.2		LOC388743	2.88
ILMN_1740920	NM_001609.3	10	ACADSB	2.87
ILMN_1814151	NM_006408.2	7	AGR2	2.87
ILMN_1798926	NM_003877.3	12	SOCS2	2.86
ILMN_1807894	NM_182728.1	14	SLC7A8	2.85
ILMN_2204876	NM_017791.1	14	FLVCR2	2.85
ILMN_1683905	NM_173481.2	19	C19orf21	2.85
ILMN_1815346	NM_174926.1	11	TMEM136	2.84
ILMN_1797236	NM_198951.1	20	TGM2	2.83
ILMN_1819494				2.83
ILMN_1863962				2.83
ILMN_2139761	NM_014988.1	4	LIMCH1	2.83
ILMN_1797744	NM_015964.2	16	TPPP3	2.82
ILMN_1781745	NM_001012993.1	9	C9orf152	2.80
ILMN_2161330	NM_012391.1	6	SPDEF	2.79
ILMN_1708341	NM_002614.3	1	PDZK1	2.77
ILMN_1763127	NM_001296.3	3	CCBP2	2.77
ILMN_1795839	NM_016002.2	1	SCCPDH	2.76
ILMN_1692219	NM_001002814.1	8	RAB11FIP1	2.76
ILMN_1777644	NM_014422.2	22	PIB5PA	2.75
ILMN_1792076	NM_033502.1	6	TRERF1	2.74
ILMN_1785413	NM_014861.2	16	ATP2C2	2.74
ILMN_1769925	NM_207322.2	15	FAM148A	2.71
ILMN_1678086	NM_138770.1	2	CCDC74A	2.70
ILMN_1728496	NM_175733.2	11	SYT9	2.69
ILMN_1767816	NM_031301.2	15	APH1B	2.69
ILMN_1670099	NM_052946.2	2	NOSTRIN	2.68
ILMN_1657248	NM_001432.2	4	EREG	2.68
ILMN_1687652	NM_003239.1	14	TGFB3	2.68
ILMN_2224907	NM_174921.1	4	C4orf34	2.67
ILMN_2214678	NM_002357.2	2	MXD1	2.67
ILMN_2216637	NM_018401.1	4	STK32B	2.67
ILMN_1777342	NM_020820.3	20	PREX1	2.66
ILMN_1746359	NM_032918.1	12	RERG	2.65
ILMN_2131861	NM_003877.3	12	SOCS2	2.65
ILMN_1679632	XM_374010.4	2	LOC389033	2.64
ILMN_1676213	NM_014467.2	X	SRPX2	2.64
ILMN_1679194	XM_001128725.1		UGT2B7	2.63
ILMN_2241627	NM_005462.3	X	MAGEC1	2.62
ILMN_2052135	NM_013343.1	3	LOH3CR2A	2.60
ILMN_1804593	NM_198151.1	7	LOC253012	2.59
ILMN_2338452	NM_001002236.1	14	SERPINA1	2.59
ILMN_2113490	NM_021229.3	12	NTN4	2.58
ILMN_1701032	NM_001032281.2	2	TFPI	2.58
ILMN_1764980	NM_000295.3	14	SERPINA1	2.58
ILMN_1755649	NM_004695.2	17	SLC16A5	2.57
ILMN_1659610	NM_014428.1	19	TJP3	2.57
ILMN_2387712	NM_012093.2	1	AK5	2.55
ILMN_1767351	NM_001011645.1	X	AR	2.55
ILMN_1686623	NM_005211.2	5	CSF1R	2.55
ILMN_1805104	NM_000663.3	16	ABAT	2.54
ILMN_1691410	NM_012342.2	10	BAMBI	2.53
ILMN_2081682	NM_022733.1	1	SMAP2	2.53
ILMN_1677314	NM_002456.4	1	MUC1	2.52
ILMN_1755897	XM_001128725.1		UGT2B7	2.50
ILMN_2406299	NM_001005914.1	3	SEMA3B	2.50
ILMN_2387471	NM_001080403.1		FLJ22184	2.50
ILMN_1781761	NM_014936.3	6	ENPP4	2.50
ILMN_1738742	NM_000930.2	8	PLAT	2.50
ILMN_2052373	NM_022449.1	2	RAB17	2.48
ILMN_1715505	NM_001007795.1	14	TTC6	2.46
ILMN_2291455	NM_001035254.1	9	FAM102A	2.46
ILMN_1806710	NM_031475.1	1	ESPN	2.45
ILMN_2119123	NM_005314.2	X	GRPR	2.45
ILMN_1712419	NM_016356.3	6	DCDC2	2.45
ILMN_1711894	NM_005375.2	6	MYB	2.44
ILMN_1701173	NM_004823.1	19	KCNK6	2.44
ILMN_1758250	NM_006700.1	12	TRAFD1	2.43
ILMN_2401878	NM_144729.1	1	DUSP10	2.43
ILMN_1780671	NM_015549.1	14	PLEKHG3	2.43
ILMN_1669819	XR_015714.1		LOC402569	2.42
ILMN_2408572	NM_194430.1	14	RNASE4	2.42
ILMN_2162819	NM_001073.1	4	UGT2B11	2.42
ILMN_2414325	NM_001077654.1	5	TNFAIP8	2.41
ILMN_2059549	NM_003177.3	9	SYK	2.41
ILMN_1651574	NM_004925.3	9	AQP3	2.41
ILMN_1659312	NM_000304.2	17	PMP22	2.40
ILMN_1680110	NM_006829.2	10	C10orf116	2.40
ILMN_1749327	NM_002754.3	6	MAPK13	2.40
ILMN_1759232	NM_005544.1	2	IRS1	2.39
ILMN_1799848	NM_144590.2	10	ANKRD22	2.38
ILMN_1691237	NM_006366.2	6	CAP2	2.38
ILMN_2054019	NM_005101.1	1	ISG15	2.37
ILMN_1693090	NM_021151.2	7	CROT	2.37
ILMN_1815086	NM_004148.3	9	NINJ1	2.37
ILMN_2349633	NM_148902.1	1	TNFRSF18	2.36
ILMN_1745501	NM_003462.3	1	DNALI1	2.35
ILMN_1687442	NM_015028.1	3	TNIK	2.35
ILMN_2363880	NM_001031615.1	11	ALDH3B2	2.35
ILMN_1772786	NM_024704.3	20	KIF16B	2.33
ILMN_2316955	NM_001080451.1	14	SERPINA11	2.33
ILMN_1724306	NM_000727.2	17	CACNG1	2.32
ILMN_1800317	NM_003392.3	3	WNT5A	2.32
ILMN_1739690	NM_004885.1	4	NPFFR2	2.32
ILMN_2391150	NM_001042459.1	3	FILIP1L	2.31
ILMN_1675927	NM_213569.1	10	NEBL	2.31
ILMN_1806456	NM_025057.1	14	C14orf45	2.30
ILMN_1822004				2.30
ILMN_1813386	NM_032854.2	17	CORO6	2.30
ILMN_1812031	NM_002579.2	19	PALM	2.30
ILMN_1730816	NM_019858.1	12	GPR162	2.30
ILMN_1732612	NM_003028.2	9	SHB	2.30
ILMN_1795118	NM_017699.2	3	SIDT1	2.29
ILMN_1759175	NM_007207.3	1	DUSP10	2.29
ILMN_1795484	NM_002630.2	6	PGC	2.29
ILMN_1730906	NM_182909.2	3	FILIP1L	2.29
ILMN_1700695	NM_080546.3	9	SLC44A1	2.28
ILMN_2198239	NM_000187.2	3	HGD	2.27
ILMN_2330552	NM_033531.1	1	CDC2L2	2.27
ILMN_1811632	NM_001461.1	1	FMO5	2.27
ILMN_2094266	NM_019089.3	1	HES2	2.25
ILMN_1776602	NM_194431.1	14	RNASE4	2.25
ILMN_1731237	NM_022131.1	3	CLSTN2	2.25
ILMN_1813695	NM_000592.4	6	C4B	2.24
ILMN_1699206	NM_033393.2	4	FHDC1	2.24
ILMN_1684982	NM_002612.3	7	PDK4	2.23
ILMN_1744949	NM_014899.3	5	RHOBTB3	2.23
ILMN_1811014	NM_000926.3	11	PGR	2.22
ILMN_1657087	NM_152520.3	2	ZNF533	2.21
ILMN_1673941	NM_153020.1	6	RBM24	2.20
ILMN_1661335	NM_003128.2	2	SPTBN1	2.20
ILMN_1682828	NM_004467.3	8	FGL1	2.20
ILMN_1656057	NM_002658.2	10	PLAU	2.20
ILMN_2313672	NM_003856.2	2	IL1RL1	2.20
ILMN_1712999	XM_936233.1		LOC642103	2.19
ILMN_1699421	NM_007193.3	4	ANXA10	2.19
ILMN_2066088	NM_178840.2	1	C1orf64	2.18
ILMN_1676336	NM_020792.3	3	AADACL1	2.18
ILMN_2256050	NM_001002236.1	14	SERPINA1	2.18
ILMN_1651547	NM_012431.1	7	SEMA3E	2.18
ILMN_2105960	NM_138424.1	9	KIF12	2.17
ILMN_2190598	NM_018351.2	12	FGD6	2.17
ILMN_1667711	NM_007069.2	11	HRASLS3	2.14
ILMN_1655261	NM_152321.1	12	ERP27	2.14
ILMN_1781468	NM_022733.1	1	SMAP2	2.14
ILMN_1725220	NM_001077400.1	2	FER1L5	2.13
ILMN_1716925	NM_152597.4	15	FSIP1	2.13
ILMN_1652797	NM_207446.2	15	LOC400451	2.13
ILMN_1720771	NM_003764.2	6	STX11	2.13
ILMN_1726597	NM_015864.2	6	C6orf32	2.13
ILMN_1742705	NM_139177.2	17	SLC39A11	2.13
ILMN_1720604	NM_014960.2	17	ARSG	2.13
ILMN_1758323	NM_001099.2	3	ACPP	2.12
ILMN_2132599	NM_144590.1	10	ANKRD22	2.12
ILMN_1661799	NM_001099668.1	3	HIGD1A	2.12
ILMN_1723141	XM_001134465.1		OTUD1	2.11
ILMN_1654013	NM_030630.1	17	C17orf28	2.11
ILMN_1717793	NM_033520.1	19	C19orf33	2.11
ILMN_1704675	NM_205833.1	X	IGSF1	2.11
ILMN_1790778	NM_007257.4	8	PNMA2	2.10
ILMN_1684205	NM_006384.2	15	CIB1	2.10
ILMN_2370685	NM_001008704.1	6	C6orf1	2.09
ILMN_1776724	NM_194317.2	2	LYPD6	2.09
ILMN_2095660	NM_024943.1	4	TMEM156	2.09
ILMN_1702835	NM_003022.1	X	SH3BGRL	2.09
ILMN_1672717	NM_025125.2	10	C10orf57	2.09
ILMN_1759766	NM_206833.2	19	CTXN1	2.09
ILMN_2301722	NM_001029851.1	5	PDE8B	2.08
ILMN_1690708	NM_003128.2	2	SPTBN1	2.08
ILMN_1806293	NM_004664.2	12	LIN7A	2.08
ILMN_1669881	NM_014399.3	7	TSPAN13	2.08
ILMN_1726352	NM_024817.1	15	THSD4	2.07
ILMN_1700268	NM_014298.3	16	QPRT	2.07
ILMN_1683576	NM_201222.1	X	MAGED2	2.06
ILMN_1716382	NM_207376.1	12	LOC387882	2.06
ILMN_1723020	NM_005921.1	5	MAP3K1	2.06
ILMN_1826165				2.05
ILMN_2401873	NM_144729.1	1	DUSP10	2.05
ILMN_2214355	NM_014488.3	11	RAB30	2.05
ILMN_1707286	NM_024829.4	12	FLJ22662	2.05
ILMN_1671365	NM_016335.2	22	PRODH	2.05
ILMN_1798624	NM_005943.3	6	MOCS1	2.04
ILMN_1684349	NM_000878.2	22	IL2RB	2.04
ILMN_1669114	NM_032387.3	17	WNK4	2.03
ILMN_2246956	NM_000633.2	18	BCL2	2.03
ILMN_2352090	NM_018653.3	17	GPRC5C	2.03
ILMN_2388263	NM_198151.1	7	LOC253012	2.03
ILMN_1764082	NM_001080480.1	6	MBOAT1	2.03
ILMN_2364384	NM_138712.3	3	PPARG	2.03
ILMN_1653501	NM_001005914.1	3	SEMA3B	2.02
ILMN_2152828	NM_024704.3	20	KIF16B	2.02
ILMN_1737011	NM_177937.1	9	GOLM1	2.02
ILMN_1713449	NM_005996.3	12	TBX3	2.02
ILMN_1837688				2.01
ILMN_1732808	XM_931515.1	16	TNRC9	2.01
ILMN_1776582	NM_005391.2	X	PDK3	2.01
ILMN_1722554	NM_053283.2	12	DCD	2.00
ILMN_1704084	NR_002174.2	6	CMAH	1.99
ILMN_1713008	NM_145186.1	16	ABCC11	1.99
ILMN_1767523	NM_018725.3	3	IL17RB	1.99
ILMN_1762224	NM_032383.3	3	HPS3	1.98
ILMN_1800354	NM_000099.2	20	CST3	1.98
ILMN_1658830	NM_001083913.1	10	C10orf26	1.98
ILMN_1757631	NM_001042610.1	16	DBNDD1	1.97
ILMN_2054121	NM_207409.1	6	C6orf126	1.97
ILMN_1779015	NM_207336.1	7	ZNF467	1.96
ILMN_2382505	NM_002555.3	11	SLC22A18	1.96
ILMN_2156936	NM_016002.2	1	SCCPDH	1.96
ILMN_1900110				1.95
ILMN_1813746	NM_003389.2	9	CORO2A	1.95
ILMN_1700831	NM_003645.2	15	SLC27A2	1.95
ILMN_1727466	NM_014505.4	12	KCNMB4	1.95
ILMN_1656940	NM_014945.2	5	ABLIM3	1.95
ILMN_1667906	NM_014249.2	15	NR2E3	1.94
ILMN_1743100	NM_148901.1	1	TNFRSF18	1.94
ILMN_1713454	NM_024833.1	19	ZNF671	1.94
ILMN_1791346	NM_001040619.1	1	ATF3	1.94
ILMN_1670844	NM_014322.2	1	OPN3	1.94
ILMN_1684873	NM_001669.2	X	ARSD	1.93
ILMN_1677098	NM_001005404.3	17	YPEL2	1.92
ILMN_2312194	NM_001914.2	18	CYB5A	1.92
ILMN_1723092	NM_139161.2	19	CRB3	1.92
ILMN_1823296				1.92
ILMN_2364574	NM_002750.2	10	MAPK8	1.92
ILMN_1657760	NM_016524.2	16	SYT17	1.91
ILMN_2166457	NM_000860.3	4	HPGD	1.90
ILMN_1812503	NM_002637.2	X	PHKA1	1.89
ILMN_1713679	NM_018000.2	2	MREG	1.89
ILMN_1690170	NM_001878.2	1	CRABP2	1.89
ILMN_2409596	NM_025151.3	8	RAB11FIP1	1.88
ILMN_1710495	NM_173462.3	14	PAPLN	1.88
ILMN_1793932	NM_139161.2	19	CRB3	1.88
ILMN_2342437	NM_001007075.1	4	KLHL5	1.88
ILMN_1670870	NM_001627.2	3	ALCAM	1.87
ILMN_1708006	NM_005931.2	6	MICB	1.87
ILMN_1729563	NM_003359.2	4	UGDH	1.87
ILMN_2374352	NM_001042610.1	16	DBNDD1	1.87
ILMN_2145396	NM_012067.2	1	AKR7A3	1.86
ILMN_1712545	NM_002960.1	1	S100A3	1.86
ILMN_1819872				1.86
ILMN_1694070	NM_138389.1	4	FAM114A1	1.86
ILMN_1696119	NM_198901.1	7	SRI	1.85
ILMN_1684984	NM_177433.1	X	MAGED2	1.85
ILMN_1789648	NM_006998.3	6	SCGN	1.85
ILMN_1688071	XM_001127234.1		NAT1	1.85
ILMN_1799139	NM_182943.2	3	PLOD2	1.84
ILMN_2387214	NM_002579.2	19	PALM	1.84
ILMN_1791306	NM_001001551.1	9	C9orf103	1.84
ILMN_1794965	NM_000350.2	1	ABCA4	1.84
ILMN_1747197	NM_032148.2	12	SLC41A2	1.84
ILMN_1711109	NM_001082968.1	17	TOM1L2	1.84
ILMN_1723706	NM_015124.2	22	GRAMD4	1.83
ILMN_2276290	NM_152663.2	1	RALGPS2	1.82
ILMN_1690304	NM_001029999.2	18	MGC26718	1.82
ILMN_1651296	XM_001127524.1	11	LOC143666	1.82
ILMN_1687867	XR_018676.1		LOC647954	1.82
ILMN_2154115	NM_012455.2	2	PSD4	1.82
ILMN_2211728	NM_002098.3	6	GUCA1B	1.82
ILMN_1714167	NM_001914.2	18	CYB5A	1.82
ILMN_1688228	XM_934770.1	15	LOC145837	1.82
ILMN_1755051	NM_018100.2		EFHC1	1.81
ILMN_1813131	XM_928128.1	5	LOC643431	1.81
ILMN_1705458	NM_015431.3	1	TRIM58	1.81
ILMN_1671971	XR_016703.1	1	LOC644743	1.80
ILMN_1717173	NM_018098.4	3	ECT2	1.80
ILMN_2191803	NM_032578.1	10	MYPN	1.80
ILMN_2371053	NM_004428.2	1	EFNA1	1.80
ILMN_1741954	NM_022743.1	1	SMYD3	1.80
ILMN_1758229	NM_002826.4	1	QSOX1	1.79
ILMN_1703593	NM_018842.3	7	BAIAP2L1	1.79
ILMN_2267914	NM_001251.2	17	CD68	1.78
ILMN_1755643	NM_012214.2	2	MGAT4A	1.78
ILMN_1771599	NM_000935.2	3	PLOD2	1.78
ILMN_2405680	NM_174881.2	19	CRB3	1.77
ILMN_2375484	NM_182646.1	4	CPEB2	1.77
ILMN_1659189	NM_032310.3	9	C9orf89	1.77
ILMN_1801119	NM_000633.2	18	BCL2	1.76
ILMN_1686261	NM_001082968.1	17	TOM1L2	1.76
ILMN_1740426	NM_016084.3	17	RASD1	1.76
ILMN_1810855	NM_001013657.2	15	LOC390637	1.75
ILMN_2415583	NM_001077188.1	X	HS6ST2	1.75
ILMN_1714861	NM_001251.1	17	CD68	1.75
ILMN_1663171	NM_002381.4	2	MATN3	1.75
ILMN_1696956	NM_006465.2	15	ARID3B	1.75
ILMN_1852267				1.74
ILMN_1656501	NM_004419.3	10	DUSP5	1.74
ILMN_2388547	NM_033255.2	13	EPSTI1	1.73
ILMN_1690695	NM_003847.1	15	PEX11A	1.73
ILMN_1668778	NM_006252.2	1	PRKAA2	1.73
ILMN_1655913	NM_005013.2	11	NUCB2	1.73
ILMN_1669876	NM_015267.2	12	CUX2	1.72
ILMN_1789186	NM_024928.3	10	OBFC1	1.72
ILMN_1778561	NM_003390.2	11	WEE1	1.72
ILMN_1682799	NM_020799.2	10	STAMBPL1	1.72
ILMN_1788955	NM_020992.2	10	PDLIM1	1.72
ILMN_2381064	NM_005079.2	8	TPD52	1.72
ILMN_1651498	NM_006705.2	9	GADD45G	1.72
ILMN_1791726	NM_006086.2	16	TUBB3	1.71
ILMN_2061446	NM_020792.3	3	AADACL1	1.71
ILMN_1723709	NM_144654.2	9	C9orf116	1.71
ILMN_1907649				1.71
ILMN_2230016	NM_014056.1	3	HIGD1A	1.70
ILMN_1784467	NM_024923.2	3	NUP210	1.70
ILMN_1805636	NM_033419.3	17	PERLD1	1.70
ILMN_1669928	NM_014448.2	1	ARHGEF16	1.70
ILMN_1768772	NM_206918.1	14	DEGS2	1.70
ILMN_1709870	NM_019089.3	1	HES2	1.70
ILMN_1674522	NM_001099668.1	3	HIGD1A	1.69
ILMN_1741371	NM_021259.1	16	TMEM8	1.69
ILMN_1678922	NM_022079.2	10	HERC4	1.68
ILMN_1681081	NM_006412.3	9	AGPAT2	1.68
ILMN_2331087	NM_206938.1	11	MS4A7	1.68
ILMN_2408851	NM_181720.2	1	ARHGAP30	1.68
ILMN_1769299	NM_181873.2	1	MTMR11	1.68
ILMN_1707077	NM_002959.4	1	SORT1	1.67
ILMN_1696657	NM_201630.1	1	LRRN2	1.67
ILMN_1656593	NM_174858.1	1	AK5	1.67
ILMN_1678423	NM_017425.2	11	SPA17	1.67
ILMN_1782204	NM_001134.1	4	AFP	1.67
ILMN_1808677	NM_001077.2	4	UGT2B17	1.67
ILMN_2191192	NR_001278.1	19	CYP2B7P1	1.66
ILMN_2294978	NM_194430.1	14	RNASE4	1.66
ILMN_1750394	NM_012319.3	18	SLC39A6	1.66
ILMN_1706687	NM_001007075.1	4	KLHL5	1.66
ILMN_1813100	NM_020340.3	6	KIAA1244	1.66
ILMN_1682738	NM_005902.3	15	SMAD3	1.65
ILMN_1689306	NM_024847.2	16	TMC7	1.65
ILMN_1892608				1.65
ILMN_2217601	NM_003568.1	1	ANXA9	1.65
ILMN_1803673	XM_053966.11	19	LOC113230	1.65
ILMN_1825249				1.65
ILMN_1696187	NM_002863.3	14	PYGL	1.65
ILMN_1720041	NM_005462.3	X	MAGEC1	1.65
ILMN_1714228	NM_178313.2	2	SPTBN1	1.65
ILMN_1765636	XM_940456.2		FLJ22184	1.64
ILMN_1696974	NM_001097577.1	14	ANG	1.64
ILMN_1810374	NM_024943.1	4	TMEM156	1.64
ILMN_1741389	NM_198540.2	19	B3GNT8	1.64
ILMN_1674498	NM_199136.2	7	C7orf46	1.64
ILMN_1726893	NM_017957.1	17	EPN3	1.64
ILMN_2329569	NM_144654.2	9	C9orf116	1.63
ILMN_2174369	NM_021814.3	6	ELOVL5	1.63
ILMN_2334296	NM_173042.2	11	IL18BP	1.63
ILMN_2195482	NM_000725.2	12	CACNB3	1.62
ILMN_1727805	NM_004711.3	22	SYNGR1	1.62
ILMN_1655821	NM_001747.2	2	CAPG	1.62
ILMN_1710903	NM_016834.2	17	MAPT	1.62
ILMN_1753584	NM_002273.2	12	KRT8	1.61
ILMN_1738989	NM_001099743.1	8	GOLSYN	1.61
ILMN_1688625	NM_001624.2	6	AIM1	1.61
ILMN_1689264	NM_002098.4	6	GUCA1B	1.61
ILMN_1764361	NM_030640.1	12	DUSP16	1.61
ILMN_2050246	NM_176813.3	7	AGR3	1.61
ILMN_1729288	NM_031910.3	22	C1QTNF6	1.60
ILMN_1749478	NM_032926.2	X	TCEAL3	1.60
ILMN_2231051	NM_152772.1	12	TCP11L2	1.60
ILMN_1734190	NM_001006933.1	X	TCEAL3	1.60
ILMN_2408764	NM_030589.2	19	CYP2A7	1.60
ILMN_1754658	NM_006382.2		CDRT1	1.59
ILMN_2069224	NM_002854.2	22	PVALB	1.59
ILMN_2327974	NM_052820.2	9	CORO2A	1.59
ILMN_1712918	NM_000904.2		NQO2	1.59
ILMN_2367753	NM_001684.3	1	ATP2B4	1.59
ILMN_1745397	NM_006187.2	12	OAS3	1.58
ILMN_1748116	NM_001042479.1	X	GEMIN8	1.58
ILMN_1711928	NM_025149.3	17	FLJ20920	1.58
ILMN_1724211	NM_022036.2	17	GPRC5C	1.58
ILMN_2372543	NR_002788.1	1	CYP4Z2P	1.58
ILMN_2398408	NM_001006639.1	X	TCEAL1	1.58
ILMN_1696767	NM_001010897.1	13	SERP2	1.58
ILMN_1702124	NM_153371.3	13	LNX2	1.58
ILMN_1652918	NM_019034.2	12	RHOF	1.57
ILMN_1660727	NM_021572.4	6	ENPP5	1.57
ILMN_2374865	NM_001040619.1	1	ATF3	1.57
ILMN_1784871	NM_004104.4	17	FASN	1.56
ILMN_1790315	NM_001039706.1	7	FLJ21062	1.56
ILMN_1807972	NM_022765.2	6	MICAL1	1.56
ILMN_2147345	NM_025057.1	14	C14orf45	1.55
ILMN_1779997	NM_001009813.1	19	MEIS3	1.54
ILMN_2158336	NM_020145.2	9	SH3GLB2	1.54
