ID	GeneRef	Chr	Symbol	Average log fold-change
ILMN_2077952	NM_020692.1	14	GALNTL1	2.17
ILMN_1793517	NM_004658.1	12	RASAL1	2.16
ILMN_1694588	NM_001017365.1	1	C4BPB	2.16
ILMN_1728440	NM_181605.3	21	KRTAP6-3	2.16
ILMN_2175912	NM_000211.2	21	ITGB2	2.16
ILMN_1670535	NM_201539.1	14	NDRG2	2.15
ILMN_1790338	NM_016307.3	9	PRRX2	2.15
ILMN_1684217	NM_004217.2	17	AURKB	2.14
ILMN_2371724	NM_001024912.1	19	CEACAM1	2.14
ILMN_1756236	NM_182528.2		C1QL2	2.14
ILMN_1667018	NM_021804.1	X	ACE2	2.12
ILMN_1716815	NM_001024912.1	19	CEACAM1	2.12
ILMN_2148913	NM_018004.1	3	TMEM45A	2.12
ILMN_1700666	NM_014581.2	9	OBP2B	2.11
ILMN_1740415	NM_080614.1	20	WFDC3	2.10
ILMN_1876470				2.10
ILMN_1764788	NM_001066.2	1	TNFRSF1B	2.09
ILMN_1738707	NM_005979.2	1	S100A13	2.09
ILMN_1726250	NM_015692.2	19	CPAMD8	2.08
ILMN_1664859	NM_003034.2	12	ST8SIA1	2.08
ILMN_1720433	NM_138805.2	3	FAM3D	2.07
ILMN_1679176	NM_012128.2	1	CLCA4	2.07
ILMN_1706818	NM_022065.4	2	THADA	2.06
ILMN_1688205	NM_002776.4	19	KLK10	2.05
ILMN_1749403	NM_178562.2	7	TSPAN33	2.04
ILMN_1668559	NM_001005339.1	10	RGS10	2.03
ILMN_2198413	NM_138768.2	11	MYEOV	2.03
ILMN_1670238	NM_003504.3	22	CDC45L	2.02
ILMN_1799120	NM_080735.1	20	WFDC2	2.01
ILMN_2379718	NM_001031677.2	5	RAB24	2.01
ILMN_1751228	NM_018354.1	20	C20orf46	1.98
ILMN_1787932	NM_025048.2	6	GPR110	1.98
ILMN_1661673	NR_003141.1		SNHG4	1.98
ILMN_1680367	NM_001004298.2	10	C10orf90	1.97
ILMN_1803256	NM_020225.1	4	STOX2	1.96
ILMN_1794875	NM_032717.3	4	AGPAT9	1.96
ILMN_1784706	NM_004961.3	X	GABRE	1.95
ILMN_1652906	NM_021996.3	9	GBGT1	1.95
ILMN_1768958	NM_005739.2	15	RASGRP1	1.94
ILMN_2383349	NM_018234.2	2	STEAP3	1.93
ILMN_2308903	NM_181522.1	20	WFDC3	1.92
ILMN_1809173	XR_015834.1	4	LOC729021	1.92
ILMN_1708778	NM_000050.4	9	ASS1	1.92
ILMN_2400183	NM_001077395.1	1	DPH5	1.91
ILMN_1677693	NM_006018.1	12	GPR109B	1.91
ILMN_1801939	NM_004701.2	15	CCNB2	1.90
ILMN_1801584	NM_003467.2	2	CXCR4	1.90
ILMN_1684497	NM_032709.1	10	C10orf33	1.89
ILMN_1699750	NM_024794.1	19	ABHD9	1.88
ILMN_1761903	NM_002251.3	20	KCNS1	1.88
ILMN_1741054	NM_021095.1	2	SLC5A6	1.88
ILMN_1791511	NM_018487.2	7	TMEM176A	1.88
ILMN_1793410	NM_021021.2	8	SNTB1	1.87
ILMN_1696347	NM_001814.2	11	CTSC	1.87
ILMN_2195721	NM_181619.1	21	KRTAP21-1	1.86
ILMN_1692707	NM_001013663.1	2	LOC391356	1.86
ILMN_1781155	NM_002350.1	8	LYN	1.86
ILMN_1733538	NM_001005339.1	10	RGS10	1.86
ILMN_2349071	NM_005756.2	X	GPR64	1.86
ILMN_1875096				1.86
ILMN_2373444	NM_000674.2	1	ADORA1	1.85
ILMN_1677843	NM_001031677.2	5	RAB24	1.85
ILMN_1681544	NM_175062.3	5	RASGEF1C	1.83
ILMN_1741727	NM_012413.3	2	QPCT	1.83
ILMN_1696360	NM_147780.2	8	CTSB	1.83
ILMN_1777233	NM_004091.2	1	E2F2	1.82
ILMN_1738642	NM_016308.1	1	CMPK1	1.82
ILMN_1775587	NM_001001850.1	3	STX19	1.82
ILMN_1694608	NM_198593.1	17	C1QTNF1	1.81
ILMN_1731064	NM_020247.4	1	CABC1	1.81
ILMN_2072598	NM_001013685.1	7	LOC401357	1.81
ILMN_1865056				1.81
ILMN_1712487	NM_006893.2	1	LGTN	1.80
ILMN_1654396	NM_000211.1	21	ITGB2	1.80
ILMN_2183409	NM_005505.3	12	SCARB1	1.79
ILMN_1724822	XM_001133357.1		LOC399744	1.79
ILMN_1715969	NM_016612.2	8	SLC25A37	1.79
ILMN_1789058	NM_173795.2	1	C1orf188	1.79
ILMN_1678939	NM_004665.2	6	VNN2	1.78
ILMN_2260392	NM_020445.4	7	ACTR3B	1.77
ILMN_1655595	NM_006216.2	2	SERPINE2	1.77
ILMN_2395451	NM_054012.3	9	ASS1	1.77
ILMN_1719753	NM_016267.2	X	VGLL1	1.76
ILMN_1684699	NM_001422.2	11	ELF5	1.74
ILMN_2124221	NM_001025232.1	12	CLLU1OS	1.74
ILMN_1893367				1.74
ILMN_2198516	NM_020801.1	5	ARRDC3	1.73
ILMN_2313946	NM_153636.1	16	CPNE7	1.73
ILMN_1683102	NM_052934.2	1	SLC26A9	1.72
ILMN_1767556	NM_007021.2	10	C10orf10	1.72
ILMN_2408946	NM_002605.2	15	PDE8A	1.71
ILMN_1769694	NM_001095.2	12	ACCN2	1.71
ILMN_2115005	NM_173558.2	6	FGD2	1.70
ILMN_1707434	XM_929667.1	8	LOC653778	1.70
ILMN_1667115	NM_182532.1	1	TMEM61	1.69
ILMN_2266184	NM_032041.2	8	NCALD	1.69
ILMN_2306540	NM_001001567.1	21	PDE9A	1.68
ILMN_1674402	NM_144649.1	8	TMEM71	1.67
ILMN_1792072	NM_002033.2	11	FUT4	1.67
ILMN_1737418	NM_001009185.1	5	ACSL6	1.66
ILMN_2227533	NM_032750.1	3	ABHD14B	1.66
ILMN_1664691	NM_014395.1	4	DAPP1	1.66
ILMN_1747882	NM_000625.3	17	NOS2A	1.66
ILMN_2359742	NM_001908.3	8	CTSB	1.65
ILMN_1736936	NM_012188.4	5	FOXI1	1.64
ILMN_1771333	NM_198793.2	3	CD47	1.64
ILMN_1710170	NM_177526.1	19	PPAP2C	1.63
ILMN_1783231	NM_021200.1	11	PLEKHB1	1.63
ILMN_2242463	NM_001814.2	11	CTSC	1.63
ILMN_1789955	NM_006813.1	6	PNRC1	1.63
ILMN_1693338	NM_000104.2	2	CYP1B1	1.62
ILMN_1682937	NM_001038633.2	1	RSPO1	1.61
ILMN_2196984	NM_007280.1	15	OIP5	1.61
ILMN_1796074	NM_001012716.1	18	C18orf56	1.61
ILMN_1664330	NM_001712.3	19	CEACAM1	1.59
ILMN_1655577	NM_003253.2	21	TIAM1	1.59
ILMN_1679438	NM_024629.2	4	MLF1IP	1.59
ILMN_1715476	XM_939056.2		LOC649970	1.59
ILMN_1790100	NM_145018.2	11	C11orf82	1.59
ILMN_1754555	NM_174959.1	7	SVOPL	1.59
ILMN_2104877	NM_016308.1	1	CMPK1	1.58
ILMN_1708743	NM_022908.1	3	NT5DC2	1.58
ILMN_1802808	XM_939368.1		LOC654103	1.58
ILMN_1795778	NM_001017973.1	5	P4HA2	1.58
ILMN_1803005	NM_015506.2	1	MMACHC	1.58
ILMN_1719906	NM_005327.2	4	HADH	1.57
ILMN_1678517	NM_016234.3	10	ACSL5	1.57
ILMN_1660729	NM_144583.3	2	ATP6V1C2	1.56
ILMN_1806040	NM_001071.1	18	TYMS	1.56
ILMN_1803036	NM_005646.3	1	TARBP1	1.56
ILMN_2351269	NM_001005367.1	19	TTYH1	1.55
ILMN_1732066	NM_001015001.1	15	CKMT1A	1.54
ILMN_1814022	NM_005693.1	11	NR1H3	1.54
ILMN_1765000	NM_145238.3	1	ZSCAN20	1.54
ILMN_1733288	NM_016546.1	12	C1RL	1.54
ILMN_2380588	NM_199184.1	6	C6orf108	1.54
ILMN_2400947	NM_006561.2	10	CUGBP2	1.51
ILMN_1787705	NM_001693.3	8	ATP6V1B2	1.51
ILMN_1802392	NM_133509.2	14	RAD51L1	1.51
ILMN_1683470	NM_153345.1	7	TMEM139	1.50
ILMN_1688152	NM_004843.2	19	IL27RA	1.50
ILMN_1652223	NM_014149.2	7	WDR91	1.49
ILMN_1687683	NM_005528.1	11	DNAJC4	1.48
ILMN_1742541	NM_014803.3	10	ZNF518A	1.47
ILMN_1685767	NM_058186.3	21	FAM3B	1.46
ILMN_1806841	NM_145004.5	8	ADAM32	1.46
ILMN_1850513				1.46
ILMN_1782743	NM_015416.3	12	LETMD1	1.45
ILMN_1901934				1.45
ILMN_1772894	NM_020665.3	X	TMEM27	1.45
ILMN_1773363	NM_000246.2	16	CIITA	1.45
ILMN_2369756	NM_145036.2	17	CCDC46	1.45
ILMN_1914473				1.44
ILMN_1709346	NM_007097.2	5	CLTB	1.43
ILMN_1683607	NM_000761.3	15	CYP1A2	1.43
ILMN_2355033	NM_001080392.1	7	KIAA1147	1.43
ILMN_1769606	NM_152431.1	11	PIWIL4	1.43
ILMN_1731907	XM_933030.1	1	LOC643313	1.42
ILMN_1657836	NM_022835.1	19	PLEKHG2	1.42
ILMN_1673673	NM_018492.2	8	PBK	1.42
ILMN_2085012	NM_014020.2	7	TMEM176B	1.41
ILMN_1778010	NM_001012636.1	16	IL32	1.41
ILMN_1661055	XM_495907.2	12	LOC440080	1.41
ILMN_1672925	XM_942529.1		LOC652837	1.40
ILMN_1686968	NM_152493.2	1	ZNF362	1.40
ILMN_2368530	NM_001012633.1	16	IL32	1.40
ILMN_1784948	NM_144569.4	1	SPOCD1	1.39
ILMN_1749521	NM_018656.2	12	SLC35E3	1.39
ILMN_2296369	NM_199189.1	5	MATR3	1.39
ILMN_2148796	NM_032117.2	4	MND1	1.38
ILMN_2356991	NM_001777.3	3	CD47	1.38
ILMN_1709882	NM_016513.3	6	ICK	1.38
ILMN_1704196	NM_001943.2	18	DSG2	1.38
ILMN_2077094	NM_013265.2	11	C11orf2	1.37
ILMN_1736103	NM_002223.2	12	ITPR2	1.37
ILMN_1700547	NM_031422.2	18	CHST9	1.37
ILMN_1754149	NM_001024668.1	12	LETMD1	1.37
ILMN_2415277	NM_134325.1	1	SLC26A9	1.36
ILMN_2047676	NM_022353.2	2	OSGEPL1	1.35
ILMN_1802167	NM_012190.2	3	ALDH1L1	1.34
ILMN_1740291	NM_199420.3	3	POLQ	1.32
ILMN_1703852	NM_004093.2	13	EFNB2	1.32
ILMN_1815184	NM_018136.3	1	ASPM	1.32
ILMN_1723277	NM_021647.6	4	MFAP3L	1.31
ILMN_2356838	NM_006090.3	1	CEPT1	1.31
ILMN_1683146	NM_002032.2	11	FTH1	1.30
ILMN_1653358	NM_001097641.1	19	FUT3	1.30
ILMN_1798654	NM_005915.4	2	MCM6	1.30
ILMN_1657129	NM_003930.3	7	SKAP2	1.30
ILMN_1656452	NM_025108.2	16	C16orf59	1.30
ILMN_2205999	NM_003999.1	5	OSMR	1.29
ILMN_1731062	NM_000905.2	7	NPY	1.29
ILMN_1695658	NM_005733.1	5	KIF20A	1.29
ILMN_1714383	NM_001003396.1	6	TPD52L1	1.28
ILMN_1657475	NM_000155.2	9	GALT	1.27
ILMN_1678669	NM_001034.1	2	RRM2	1.27
ILMN_2394287	NM_130840.2	7	ATP6V0A4	1.27
ILMN_2193706	NM_003806.1	12	HRK	1.27
ILMN_2324202	NM_004961.3	X	GABRE	1.27
ILMN_1663092	NM_006079.3	6	CITED2	1.26
ILMN_2337923	NM_001003397.1	6	TPD52L1	1.26
ILMN_1674696	NM_018324.1	10	OLAH	1.26
ILMN_2344971	NM_021953.2	12	FOXM1	1.26
ILMN_1656097	NM_134431.2	12	SLCO1A2	1.26
ILMN_1689624	NM_032778.4	3	MINA	1.24
ILMN_1805466	NM_000346.2	17	SOX9	1.22
ILMN_1664516	NM_016343.3	1	CENPF	1.22
ILMN_1777564	NM_002358.2	4	MAD2L1	1.22
ILMN_1826921				1.22
ILMN_1691117	NM_052951.2	20	DNTTIP1	1.22
ILMN_1665066	NM_032313.2	4	C4orf14	1.21
ILMN_1666208	NM_018353.3	14	C14orf106	1.21
ILMN_1786278	NM_015398.2	4	FAM149A	1.21
ILMN_1655684	NM_017827.2	19	SARS2	1.20
ILMN_1709091	NM_080818.3	13	OXGR1	1.20
ILMN_1782247	NM_021078.2	17	GCN5L2	1.20
ILMN_1672660	NM_001025100.1	18	MBP	1.19
ILMN_1690342	NM_000895.1	12	LTA4H	1.19
ILMN_1752668	NM_015345.2	6	DAAM2	1.19
ILMN_1810992	NM_004341.3	2	CAD	1.18
ILMN_1685045	NM_001025199.1	1	CHI3L2	1.18
ILMN_1739541	NM_004688.1	2	NMI	1.18
ILMN_1719755	NM_032447.3	19	FBN3	1.17
ILMN_1652722	NM_004894.1	14	C14orf2	1.17
ILMN_2273331	NM_145036.2	17	CCDC46	1.17
ILMN_1699772	NM_021244.3	6	RRAGD	1.17
ILMN_1674231	NM_005441.2	21	CHAF1B	1.17
ILMN_1698952	NM_003839.2	18	TNFRSF11A	1.17
ILMN_1761275	NM_000150.2	19	FUT6	1.17
ILMN_1711005	NM_001789.2	3	CDC25A	1.17
ILMN_1742131	NM_014427.3	16	CPNE7	1.16
ILMN_1786125	NM_001237.2	4	CCNA2	1.16
ILMN_1772976	NM_152547.3	5	BTNL9	1.15
ILMN_1700337	NM_005480.2	12	TROAP	1.14
ILMN_2213693	NM_001004459.1	11	OR1S2	1.14
ILMN_1882512				1.14
ILMN_1711904	NM_031300.2	5	MXD3	1.14
ILMN_2168747	NM_000846.3	6	GSTA2	1.14
ILMN_1769759	NM_012397.2	18	SERPINB13	1.13
ILMN_2322986	NM_001042533.1	3	MINA	1.13
ILMN_1792922	NM_000636.2	6	SOD2	1.12
ILMN_1681651	NM_004476.1	11	FOLH1	1.12
ILMN_2123871	NM_152834.2	2	TMEM18	1.12
ILMN_1742054	NM_178857.4	8	RP1L1	1.12
ILMN_1763491	NM_020990.3	15	CKMT1B	1.12
ILMN_1671906	NM_032117.2	4	MND1	1.11
ILMN_1781173	NM_014707.1	7	HDAC9	1.11
ILMN_1748650	NM_032351.3	17	MRPL45	1.11
ILMN_1653324	NM_052962.2	6	IL22RA2	1.10
ILMN_1772208	NM_032251.4	11	CCDC88B	1.10
ILMN_1731063	NM_139157.2	11	ST5	1.10
ILMN_1703906	NM_018410.3	2	HJURP	1.09
ILMN_1773901	NM_177424.2	1	STX12	1.09
ILMN_1773959	NM_030965.1	1	ST6GALNAC5	1.09
ILMN_1716507	NM_012156.2	20	EPB41L1	1.08
ILMN_1774722	NM_006569.3	2	CGREF1	1.08
ILMN_1868572				1.07
ILMN_1798819	NM_021907.3	2	DTNB	1.07
ILMN_1700168	NM_015340.3	3	LARS2	1.03
ILMN_1796949	NM_012112.4	20	TPX2	1.03
ILMN_2349459	NM_001168.2	17	BIRC5	1.03
ILMN_1720498	NM_001080825.1	12	TMEM120B	-1.02
ILMN_1729217	NM_144635.3	3	FAM131A	-1.06
ILMN_1777061	XM_035299.8	5	ZSWIM6	-1.06
ILMN_1713638	NM_001099287.1	5	ICHTHYIN	-1.09
ILMN_1694240	NM_002755.2	15	MAP2K1	-1.10
ILMN_1735301	NM_152879.2	2	DGKD	-1.11
ILMN_1705442	NM_144601.2	16	CMTM3	-1.12
ILMN_1774930	NM_003672.3	1	CDC14A	-1.12
ILMN_1719010	NM_001661.3	17	ARL4D	-1.12
ILMN_1661695	NM_007199.1	12	IRAK3	-1.13
ILMN_1713174	NM_018393.2	11	TCP11L1	-1.13
ILMN_1661488	XM_001131725.1	22	LOC729905	-1.15
ILMN_1772466	NM_005490.1	19	SH2D3A	-1.15
ILMN_1763763	NM_006871.3	14	RIPK3	-1.17
ILMN_2352934	NM_032468.2	8	ASPH	-1.18
ILMN_1749338	NM_173505.2	18	ANKRD29	-1.19
ILMN_1790014	XM_941466.2		METRNL	-1.19
ILMN_1675956	NM_000081.2	1	LYST	-1.19
ILMN_2124187	NM_014779.2	3	TSC22D2	-1.19
ILMN_1784661	NM_013390.1	9	TMEM2	-1.20
ILMN_1685397	NM_002204.1	17	ITGA3	-1.20
ILMN_1693334	NM_000917.2	10	P4HA1	-1.20
ILMN_1802292	NM_052950.2	13	WDFY2	-1.20
ILMN_1796180	NM_021117.2	11	CRY2	-1.21
ILMN_1725946	NM_006147.2	1	IRF6	-1.22
ILMN_1724984	NM_004836.4	2	EIF2AK3	-1.22
ILMN_1705346	NM_015678.3	13	NBEA	-1.24
ILMN_1791232	NM_181784.1	2	SPRED2	-1.25
ILMN_1652246	XM_001133202.1		KIAA0363	-1.25
ILMN_1794017	NM_013376.3	19	SERTAD1	-1.26
ILMN_1722834	NM_002926.3	4	RGS12	-1.27
ILMN_1712707	NM_024527.4	19	ABHD8	-1.27
ILMN_2370208	NM_001048251.1	16	CMTM3	-1.28
ILMN_2128770	NM_014603.1	17	CDR2L	-1.29
ILMN_2374036	NM_145918.2	9	CTSL1	-1.30
ILMN_2338963	NM_001078174.1	6	SLC29A1	-1.30
ILMN_1786168	NM_001013670.1	15	LOC400464	-1.30
ILMN_1769876	NM_018421.2	9	TBC1D2	-1.31
ILMN_1788931	NM_203447.1	9	DOCK8	-1.31
ILMN_1788783	NM_012288.3	6	TRAM2	-1.32
ILMN_1812995	NM_001912.3	9	CTSL1	-1.32
ILMN_1651429	NM_080430.2	22	SELM	-1.34
ILMN_1765326	NM_003648.2	2	DGKD	-1.36
ILMN_2302075	NM_138962.2	17	MSI2	-1.37
ILMN_1684439	NM_022443.2	3	MLF1	-1.37
ILMN_1765860	NM_144658.3	X	DOCK11	-1.37
ILMN_1703891	NM_015130.2	4	TBC1D9	-1.38
ILMN_1737611	NM_199245.1	12	VAMP1	-1.38
ILMN_1704452	NM_004326.2	1	BCL9	-1.39
ILMN_1760574	NM_021785.2	X	RAI2	-1.40
ILMN_1656904	NM_003038.2	2	SLC1A4	-1.40
ILMN_1741755	NM_012101.3	11	TRIM29	-1.40
ILMN_1713031	NM_016134.2	8	PGCP	-1.40
ILMN_2203876	NM_025214.1	18	CCDC68	-1.41
ILMN_1718977	NM_015675.2	19	GADD45B	-1.41
ILMN_1763852	NM_001093.3	12	ACACB	-1.41
